Название компании,Вакансия,Требования по вакансии,"Город, уловия",Зарплата,Дата публикации,Ссылка на вакансию,Описание вакансии
Яндекс,Разработчик бэкенда в IT-инфраструктуру офисов (Умный офис),"Бэкенд разработчик, Старший (Senior) • Python • Django",Москва • Полный рабочий день,,24 сентября,https://career.habr.com/vacancies/1000127956,"О компании и команде Яндекс строит свой новый дом . Чтобы офис стал уютным и умным, нам нужно изобрести, разработать и масштабировать целый комплекс новых технологических решений: системы локеров, навигации, интеллектуальных ассистентов, офисных роботов и многие другие. Мы формируем команду бэкенд-разработчиков, которые помогут нам создавать и запускать продукты для офиса мечты, совершенствовать, переосмыслять и масштабировать существующие решения. Если вы любите автоматизировать работу и решать сложные задачи, хотите изучать и внедрять самые последние технологии, ждём вас в команде. Ожидания от кандидата Мы ждем, что вы: писали на Python с использованием фреймворка Django или готовы переключиться на него; знакомы с реляционными и нереляционными базами данных; понимаете, как работают современные веб-сервисы; умеете писать эффективный и понятный код; уверенно владеете командной строкой Linux; самостоятельны и готовы работать в команде. Яндекс строит свой новый дом . Чтобы офис стал уютным и умным, нам нужно изобрести, разработать и масштабировать целый комплекс новых технологических решений: системы локеров, навигации, интеллектуальных ассистентов, офисных роботов и многие другие. Мы формируем команду бэкенд-разработчиков, которые помогут нам создавать и запускать продукты для офиса мечты, совершенствовать, переосмыслять и масштабировать существующие решения. Если вы любите автоматизировать работу и решать сложные задачи, хотите изучать и внедрять самые последние технологии, ждём вас в команде. Что нужно делать: участвовать в полном цикле разработки внутренних продуктов: продумывать архитектуру, создавать MVP, имплементировать, тестировать, оптимизировать решения; решать задачи любого уровня — от создания схем тестирования до построения больших отказоустойчивых систем; непрерывно совершенствовать технические характеристики сервисов: масштабировать, улучшать производительность, повышать надёжность; взаимодействовать со смежными командами, владельцами и менеджерами продуктов. Будет плюсом, если вы: работали с сетевым стеком Linux и технологиями контейнеризации в Linux (Docker, containerd, LXC и пр.); работали с PostgreSQL, Redis и знаете другие базы данных; разворачивали приложения в облачных сервисах Yandex Cloud, Azure, AWS; участвовали в разработке решений с использованием IoT; всей душой любите концепции умного дома. Условия работы сильная команда, с которой можно расти; возможность влиять на процесс и результат; зарплата на уровне рынка и выше; премии каждые полгода для всех, кто успешно прошёл ревью; расширенная программа ДМС, оплата 80% стоимости ДМС для супругов и детей; гибкий график работы."
МТС,Middle Python разработчик [Группа системных сервисов],"Бэкенд разработчик, Средний (Middle) • Python • Linux",Полный рабочий день • Можно удаленно,,22 сентября,https://career.habr.com/vacancies/1000130145,"О компании и команде МТС Digital – сердце цифровой экосистемы МТС. 12 гильдий инженеров, суперкомпьютер, системы видеоаналитики, IoT, собственная лаборатория AI и 20+ петабайт данных. Финтех, стриминг, гейминг, мобильные приложения, облачные сервисы. Каждый день мы работаем над тем, чтобы вывести мобильную и веб-разработку на новый уровень, благодаря сплоченным продуктовым командам и agile методологиям. Мы ищем Middle Python разработчика в группу системных сервисов, которая занимается сервисами доступа в интернет с помощью Squid, Active Directory, Internal SSO, платформой управления ПО. Чем предстоит заниматься: Сопровождать и развивать open source решения; Автоматизировать процессы (используем PowerShell, Microsoft Orchestrator, частично C#, shell, perl, python); Работать с CI/CD (Gitlab); Внедрять NGFW; Документировать процедуры, инструкции, регламенты, наполнять базы знаний; Проводить аварийные дежурства и поддерживать пользователей на третьей линии. Ожидания от кандидата Мы ждем от кандидата : Опыт разработки на Python от 2х лет; Знание Linux на уровне администратора; Навыки работы с сетевыми протоколами, аутентификацией и авторизацией, шифрованием. Будет плюсом: Опыт разработки и написания скриптов на С++ / C#/ Perl/ Bash; Опыт работы с Samba/ Squid/ OpenSSL/ Active Directory; Опыт работы с NGFW решениями. Условия работы Удаленно в РФ или гибридно в Москве Бонусы Что мы предлагаем : собственную платформу MTS Ocean для получения ИТ-ресурсов, а это значит, что деплой, мониторинг, observability - не будут для вас проблемой, вы сможете сосредоточиться на фичах; профессиональные гильдии инженеров по направлениям, чтобы поддерживать друг друга и обмениваться опытом; внутреннюю площадку TechTalks для обмена опытом, дискуссий, развития навыков самопрезентации; участие во внешних IT конференциях. Мы выступаем на HighLoad++, DataFest, Mobius, Test Driven Conf, Joker, DevOps, Матемаркетинг и даже проводим собственную конференцию по архитектуре Hello, conference! полезные курсы и вебинары в корпоративном университете и электронные библиотеки. А еще: медицинскую страховку с 1 месяца со 100% покрытием расходов, включая стоматологию, страхование жизни и здоровья в поездках за рубеж. А еще можно застраховать родственников с корпоративной скидкой; доступ к сервису «Понимаю»: онлайн-консультации с психологом, юристом, экспертом по финансам или ЗОЖ; корпоративный и командный психолог в офисе и массажный кабинет; единую подписку МТС Premium — KION light в онлайн-кинотеатре KION, сервис МТС Music, 30 дней бесплатного пользования подпиской OZON Premium; скидки и предложения от партнеров на фитнес, занятия английским и прочее."
Совкомбанк Технологии,Python разработчик,Разработчик баз данных • PostgreSQL • SQL • Python • Django • Oracle,Казань • Полный рабочий день,,22 сентября,https://career.habr.com/vacancies/1000130142,"О компании и команде ПРОЕКТ: Мы работаем над созданием аналитического хранилища данных, строим процессы загрузки и обработки данных из различных источников. На основе данных аналитической платформы каждый день готовится регуляторная и корпоративная отчетность. Мы не стоим на месте, пробуем новые и развиваем имеющиеся инструменты подготовки и визуализации данных, работаем над качеством данных. СТЕК: Python Django, Bootstrap, Oracle Apex Oracle DB, MS SQL Oracle Data Integrator, SQL Server Integration Services, AirFlow YouTrack, Confluence Git, GitLab ОБЯЗАННОСТИ: Разрабатывать и развивать модули финансового хранилища; Разрабатывать инструменты и сервисы для получения управленческой и регуляторной отчетности; Искать новые подходы и технологии, которые помогут улучшить наши решения и процессы; Работать с большими объемами данных. Ожидания от кандидата ТРЕБОВАНИЯ: Опыт веб-разработки от 1 года; Обязателен опыт работы с Django 4.* и Python 3.9 (или выше); Хорошие знания SQL, опыт работы с одной из СУБД Oracle, MS SQL, PostgreSQL; Знание HTML/CSS/JS на базовом уровне; Базовые навыки работы с ОС Linux; Знание концепции контейнеризации приложений, наличие опыта настройки и запуска docker-контейнера. БУДЕТ ПЛЮСОМ: Опыт работы с Django Rest Framework; Умение составлять сложные SQL-запросы и оптимизировать их; Навык написания тестов с использованием unittest/pytest, mock; Опыт работы с Redis или другим in-memory СУБД; Опыт CI/CD Python приложений. Условия работы УСЛОВИЯ: Официальное оформление с первого дня выхода на работу; Атмосфера профессионального развития, вдохновленная принципами Agile; Профессиональная команда девелоперов, авторитетных тимлидов и опытных наставников; У нас самый уникальный портфель бенефитов по программе софинансирования (ДМС, фитнес, школа ин. языков на выбор, скидки на коробочные продукты банка и партнеров) Мы поможем развить вашу проф. экспертизу: оплатим профессиональные тренинги и внешние образовательные курсы, участвуем в ИТ активностях (митапы, хакатоны, юконы) Вовлеченность, комфорт, свобода, минимум бюрократии, нет дресс-кода, гибкое начало и завершение рабочего дня, приходи – с нами будет интересно!"
Neoflex,Специалист аналитики ,Системный аналитик • REST • SOAP • HTTP • JSON • Swagger • XML • Микросервисная архитектура • Разработка решений по интеграции,Полный рабочий день • Можно удаленно,,24 сентября,https://career.habr.com/vacancies/1000126368,"О компании и команде ПРОЕКТ: Создание нового страхового продукта ""Система страхования"" Удаленный режим работы на территории РФ СТЕК ТЕХНОЛОГИЙ: Микросервисы Реляционные БД Интеграции: REST, очереди, SOAP ЧЕМ ТЫ БУДЕШЬ ЗАНИМАТЬСЯ: Сбор, систематизация, верификация и документирование требований к информационным системам. Проектирование различных аспектов ИС: поддерживаемые бизнес-процессы, интеграционные взаимодействия, структура баз данных, экранные формы и т.д. Консультирование коллег по команде в части ожидаемого поведения системы. Работа с заказчиком (согласование требований, консультации). Участие в командной работе по методологии SCRUM. Оценка трудозатрат и приоритизация задач. Ожидания от кандидата ТЫ НАШ ИДЕАЛЬНЫЙ КАНДИДАТ, ЕСЛИ У ТЕБЯ ЕСТЬ: Понимание основ проектирования микросервисной архитектуры, баз данных и интеграционных взаимодействий различных типов. Опыт сбора требований (в т.ч. на проектах, где необходимо разрабатывать систему ""с нуля""), создания проектных и аналитических артефактов, верификации требований. Опыт моделирования, улучшения и автоматизации бизнес-процессов. Опыт прототипирования пользовательских интерфейсов. Опыт работы в качестве тимлида аналитики. Опыт работы в SCRUM-команде. Условия работы УСЛОВИЯ: Официальное трудоустройство по ТК РФ; График работы 5/2: Амбициозные задачи и проекты: Работа в команде профессионалов в доброжелательной атмосфере: Подключение к программе ДМС (включает стоматологию, обследование, лечение заболеваний), а также возможность страхования родственников по корпоративной цене. Корпоративное обучение и развитие (портал обучения и развития удаленным доступом 24/7; собственный Центр развития компетенций); Насыщенная корпоративная жизнь: яркие корпоративы, праздники для детей сотрудников, корпоративные спортивные мероприятия; мотивационные награждения;"
МТС,"Архитектор разработки ПО (Java, Scala, C++) [СОРМ]","Архитектор программного обеспечения, Ведущий (Lead) • Docker • Git • C++ • Scala • Высоконагруженные системы • Kubernetes",Полный рабочий день • Можно удаленно,,1 октября,https://career.habr.com/vacancies/1000121376,"О компании и команде Прикладная техника – часть цифровой экосистемы МТС . Задача компании – разработка программных и аппаратных решений в области безопасности. СОРМ - информационная система, которая является компонентом сети связи (мобильной, фиксированной) и предназначена для выполнения требований законодательства РФ (закон «О связи»), выполняющая функции съема, хранения и предоставления данных о абонентской активности. Стек: Java, Scala, C++, JavaScript, Git, Jenkins, RESTful и SOAP интерфейсы, микросервисная архитектура и множество интеграций с внешними системами. ​Чем предстоит заниматься: собирать требования к ПО/системе/решениям; проектировать архитектуру ПО/систем/решений; участвовать в выборе технологий и средств реализации ПО/систем/решений; участвовать в проведении исследовательских работ по выбору оптимальных решений в разрезе цена/время/качество; разрабатывать и корректировать алгоритмы обработки информации; участвовать в разработке, анализе, оптимизации ПО/систем/решений; предоставлять техническую экспертизу в рамках предпродажной деятельности; изучать передового опыт проектирования и разработки; участвовать в подготовке документации; заниматься архитектурным сопровождением проектов на стадии реализации и эксплуатации; презентовать разработанные решения. Ожидания от кандидата Что мы ждем от кандидата: высшее образование в области ИТ или Телеком; опыт работы архитектором информационных систем не менее 4 лет; опыт программирования на языках программирования (один или несколько: Java/Scala/C++/JavaScript/др.) не менее 2 лет; понимание архитектурных принципов построения информационных систем, а также построения интеграционных решений (SOA, микросервисы, ESB, ETL); понимание особенностей разработки виртуализируемых высоконагруженных (сотни тысяч событий в секунду), территориально распределенных и многопоточных систем реального времени; понимание методов проектирования и построения БД; опыт разработки RESTful и SOAP интерфейсов, знание JSON и XML; знание протоколов и стандартов сети Интернет (RFC, ISO, др.); знание техник моделирования ПО (UML, BPMN, IDEF); опыт разработки технической документации (ТЗ, функции автоматизации, компоненты, взаимодействия, развертывание, и др.); опыт работы по методологиям разработки Agile (Scrum); технический английский язык; умение работать с Git, Jenkins, Confluence, MS Office, Visio. Условия работы Что мы предлагаем : медицинская страховка с доступом в частные клиники и 100% покрытием расходов, включая стоматологию. Можно застраховать близких родственников на льготных условиях. Для любителей путешествий – страховка в поездках за границу. А еще есть страхование жизни; корпоративная мобильная связь и интернет для сотрудников, а для близких – на выгодных условиях; компенсация расходов на спорт; обучение в Корпоративном университете, у внешних провайдеров, если это полезно для работы, а также доступ к онлайн-библиотеке с полезными книгами и периодикой; единая подписка МТС Premium – KION Lite в онлайн-кинотеатре KION, сервис МТС Music, 30 дней бесплатного пользования подпиской OZON Premium; предложения от партнёров для путешествий, развлечений и занятий спортом; возможность участия в волонтерских программах: мы помогаем детям из детских домов, учим пенсионеров безопасному поведению в интернете, сдаем кровь, очищаем парки от мусора и многое другое; удобный формат работы: пятидневная рабочая неделя с пн по пт, а удобное время начала и окончания рабочего дня можно согласовать с руководителем; отпуск 28 календарных дней + 3 дополнительных дня за ненормированный рабочий день; два дня в неделю можно работать удаленно: дома, в коворкинге, кафе или там, где захотите. Дополнительные инструкции Если ты хочешь к нам присоединиться, то присылай своё резюме/профиль на почту или в telegram: ✉️ yskonyshev@mts.ru 📱 https://t.me/konysheva_e"
Hoff Tech,Системный администратор,"Системный администратор, Средний (Middle) • Osi model • DNS • Active directory • DHCP • Администрирование Windows • Системное администрирование • Администрирование серверов • Администрирование Linux • Администрирование сетей",Волгоград • Краснодар • Полный рабочий день,,24 сентября,https://career.habr.com/vacancies/1000121780,"Условия работы Hoff Tech - аккредитованная ИТ-компания, которая занимается разработкой продуктов для One Retail. Основной заказчик – сеть мебельных гипермаркетов Hoff, насчитывающая более 60 магазинов по всей территории России.. Сейчас мы в поисках коллег в большую распределенную команду системного администрирования. Наша команда отвечает за сеть и сетевое оборудование, сервера – как bare-metal, так и кластера VMware, поддержку операционных систем – Windows, Linux, MacOS, настройку основных элементов инфраструктуры – Active Directory, Exchange, SCCM, файловый и терминальные сервера, обслуживающих ее элементов – Zabbix, ELK, Prometeus/Grafana, Veeam backup, Kubernetes, Gitlab, а также автоматизацию с помощью Powershell, Ansible, Puppet. Почему стоит выбрать нас? Масштабная территориально распределенная инфраструктура; Работа с современными технологиями, железом и программным обеспечением; Возможность обучения в рамках рабочего времени; Большая команда экспертов, всегда готовых помочь; При успешной работе – перспективы профессионального развития – реализация масштабных проектов в рамках серверной инфраструктуры (развитие и экспертная оценка сети, сервера, IP-телефонии, системы бесшовного wifi); Проработанная система грейдов – системный администратор – старший администратор – ведущий – руководитель группы – руководитель отдела; Развитая корпоративная жизнь – ежегодные командные слеты и совместные путешествия. Чем предстоит заниматься: Обслуживание гипермаркета - профилактика, тех обслуживание, решение локальных задач; Поддержка других объектов в формате единого helpdesk - удаленная помощь пользователям, решение проблем, связанных с работой оборудования и программного обеспечения, проверка показателей системы мониторинга; Участие в проектах улучшения ИТ-инфраструктуры и работа в командах по развитию внутренних сервисов. Необходимые навыки: Опыт работы в области IT не менее 1 года; Основы сети – модель OSI (TCP/IP), VLAN, NAT, статическая маршрутизация, протоколы TCP/UDP, DHCP, основы работы DNS; Клиентская и серверная OС Microsoft на уровне администратора и инструменты диагностики; Active Directory – авторизация и аутентификация пользователя, взаимодействие клиента и контроллера домена, обработка групповых политик; Опыт работы с оргтехникой и знание механики лазерной печати. Будет плюсом: Опыт работы с торговым оборудованием и термопринтерами; Администрирования Unix систем; Написания скриптов на Powershell или Python. Мы предлагаем: Полностью «белую» заработную плату (оклад + квартальный бонус); График 5/2: 9:00-18:00 или 10:00-19:00, плавающие выходные; Очный формат работы; Оборудование для работы; Расширенный социальный пакет: ДМС, включающая стоматологию, полис для выезжающих за рубеж; льготные условия оформления страховки для членов семьи; Корпоративные скидки для сотрудников от компаний-партнеров (фитнес, иностранные языки, путешествия, скидки на товары сети Hoff и т.д.). Дополнительные инструкции Привет, будущий коллега! Мы рады, что ты обратил внимание на нашу вакансию :) Попасть в нашу команду очень просто: - оставь отклик на вакансию; - пообщайся с нашим IT рекрутером и расскажи о себе; - пройди техническое интервью; - познакомься с нашим техническим директором; - прими наш оффер ;) Присоединяйся к нашей дружной команде, с нами интересно!"
Совкомбанк Технологии,Аналитик информационной безопасности ( пентестер вэб-приложений),"Пентестер, Средний (Middle) • OWASP • Тестирование на проникновение • Black box testing",Санкт-Петербург • Казань • Новосибирск • Полный рабочий день • Можно удаленно,,1 октября,https://career.habr.com/vacancies/1000098388,"Условия работы Задачи: Анализ защищенности веб-приложений и информационных систем (blackbox/graybox/whitebox) Анализ исходного кода на уязвимости Анализ ИБ архитектуры веб-приложений и ИС Автоматизация процесса нахождения типовых уязвимостей веб-приложений Разработка рекомендаций по устранению уязвимостей и контроль их устранения Взаимодействие с ответственными от команд разработки по вопросам устранения уязвимостей Требования: Практический опыт проведения тестирования веб-приложений и информационных систем на уязвимости Понимание принципов атак на веб-приложения и информационные системы с использованием уязвимостей из OWASP TOP 10 Знание как минимум одного языка программирования (go, java, python, php). Навыки анализа исходного кода (PHP, Java, js, C#, Python). Знание стека TCP/IP и опыт работы со средствами анализа сетевого трафика (Burp Suite, OWASP ZAP,  Fiddler, Wireshark) Знание Web-технологий (CMS, Web-Servers, SQL, WAF) и основных framework'ов (flusk, laravel, spring, symfony, node.js и др) Умение разобраться в архитектуре веб-приложения и ИС Понимание принципов работы и технологий веб-приложений (websocket, REST, SOAP и т.д.; CORS, HSTS, SOP, CSP; OpenID, OAuth2 и др.); Знание принципов работы микросервисной архитектуры веб-приложений Будет плюсом: Опыт разработки веб-приложений (бэкграунд full-stack разработчика) Сертификация в области практической безопасности (OSWE/GWAPT и т.д.) Опыт участия в программах поиска уязвимостей(bug bounty) Опыт проведения комплексного анализа защищенности платежных инфраструктур и ДБО Опыт участия в CTF Опыт администрирования ОС Win/*nix, конфигурирования веб-серверов. Опыт проведения пентеста веб-приложений на облачных инфраструктурах (AWS, GCP, Azure и т.п.) Опыт участия в Red Team Мы предлагаем: Официальное оформление с первого дня выхода на работу; атмосферу профессионального развития, вдохновленную принципами Agile; профессиональную команду, авторитетных тимлидов и опытных наставников; у нас самый уникальный портфель бенефитов по программе софинансирования (ДМС с стоматологией, фитнес, школа ин. языков на выбор, скидки на коробочные продукты банка и партнеров); мы поможем развить вашу проф. экспертизу: оплатим профессиональные тренинги и внешние образовательные курсы, участвуем в ИТ активностях (митапы, хакатоны, юконы); вовлеченность, комфорт, свобода, минимум бюрократии, нет дресс-кода, гибкое начало и завершение рабочего дня, приходи – с нами будет интересно!"
Neoflex,Team Lead / Разработчик КХД,"Разработчик баз данных, Ведущий (Lead) • SQL • Базы данных • Oracle • Apache Spark • Scala • ETL • Python • Большие данные • PostgreSQL",Москва • Полный рабочий день,,24 сентября,https://career.habr.com/vacancies/1000118645,"Условия работы Чем ты будешь заниматься: Участие в проекте по развитию КХД; Постановка задач команде, оценка трудозатрат, контроль сроков; Участие во встречах с заказчиком; Разработка и миграция витрин; Составление и чтение маппингов; Создание ETL потоков (обязательно построение инкрементальной загрузки); Работа с системой контроля версий Git (ветвления, коммиты, пул-реквесты); Ведение рабочей документации (опыт и/или понимание на базовом уровне работы в confluence, jira, git); Оптимизация запросов; Анализ корректности и консистентности данных; Вывод в релиз. Ты наш идеальный кандидат, если у тебя: Высокий уровень знаний по SQL; Опыт разработки функций PL/pgSQL (Postgres, Greenplum, допустим Oracle); Опыт оптимизации запросов; Опыт работы с ETL инструментами (Informatica, IBM Data Stage, Talend, etc); Опыт работы с отчетностью (SAP BO, IBM Cognos BI или другими BI средствами); Опыт работы с системами контроля версий (Git, SVN, etc); Spark, scala, python (на уровне чтение кода); Hive, Java (базовое владение). Совсем круто, если ты имеешь: Опыт работы с Hadoop. У нас ты сможешь найти : Работу в комфортабельном офисе г. Москвы (Волгоградский проспект); Прозрачную систему карьерного развития в компании; Персонального наставника с первого дня работы; Возможность развития личной экспертизы и экспертизы компании; Собственную платформу внутренних и внешних образовательных программ; Возможность пройти сертификацию; Возможность участия в обучении, конференциях, митапах; Неповторимую корпоративную культуру компании."
Сбер,SRE инженер,"DevOps-инженер, Средний (Middle) • Linux • Nginx • CI/CD • Grafana • Prometheus • SRE • Jenkins",Москва • Полный рабочий день,от 235 000 ₽,24 сентября,https://career.habr.com/vacancies/1000127951,"О компании и команде Мы - команда разработчиков из Сбера, занимаемся созданием продуктов для сотрудников Экосистемы. Сейчас мы находимся в поиске инженера для одного из наших продуктов - SberMAG Немного о продукте: SberMAG (Mobile Aсcess Gateway) – единый вход для корпоративных мобильных приложений из Интернета в сеть Банка Ожидания от кандидата высшее техническое образование; знание основ Linux, безопасности и сетей (firewall, балансировка, проксирование, и т.д.); понимание принципов построения отказоустойчивых систем, работающих 24/7; понимание жизненного цикла DevOps – CI/CD; умение и желание доводить задачу до логического конца; умение работать в команде Что нужно будет делать: настройка непрерывной интеграции CI/CD; автоматизация рутинных процессов администрирования; взаимодействие с командой разработки, участие в проектировании архитектурных решений; развитие внутренней системы мониторинга; предотвращение DownTime, поиск и устранение SPOF; администрирование и поддержка PROD и DEV окружений Стек Docker Jenkins Nginx/HaProxy Мониторинг ELK/Prometheus/Grafana PostgreSQL (будет плюсом) SonarQube, CheckMarx (будет плюсом) Ansible, HELM (будет плюсом) OpenShift/Kubernetes (будет плюсом) знание языков программирования будет плюсом Условия работы cамые инновационные, амбициозные проекты и задачи; офис БЦ «Даниловский форт» (в 10 минутах от м.Нагатинская, м.Тульская); график с гибким началом рабочего дня; режим работы 5/2, возможен гибридный формат; достойный уровень оплаты труда (определяется по результатам собеседования); высокие премии по результатам работы; подписка СберПрайм+; страхование жизни и здоровья для сотрудников (ДМС) и скидки на медицинскую страховку для родственников (после испытательного срока); широкие возможности профессионального и карьерного роста; обучение и повышение квалификации в Корпоративном Университете Сбербанка, на внутренних и внешних курсах, доступ к корпоративной библиотеке; льготное кредитование в Сбербанке – возможность пользоваться премиальными продуктами Банка на специальных условиях (в т.ч. по ипотечным программам); корпоративная пенсионная программа, основанная на паритетном участии сотрудника и Банка, которая даёт возможность удвоить добровольные пенсионные накопления и получать двойной инвестиционный доход (после года работы); широкий спектр дисконт-программ, скидок и привилегий от компаний-партнёров; корпоративные и благотворительные мероприятия («Зелёный марафон», Сбербанкиада, КВН, волонтёрские программы и т.д.); современный комфортный офис: столовые предлагают вкусные завтраки, обеды, кофе-пойнты, прекрасно оборудованный тренажёрами спортивный комплекс"
Neoflex,Разработчик КХД (Отчетность),"Разработчик баз данных, Старший (Senior) • SQL • Большие данные • Apache Hadoop • Scala • Python • Apache Spark",Полный рабочий день • Можно удаленно,,24 сентября,https://career.habr.com/vacancies/1000118640,"Условия работы Чем ты будешь заниматься: Участие в проекте по развитию КХД; Создание ETL потоков (обязательно построение инкрементальной загрузки); Работа с системой контроля версий; Ведение рабочей документации; Участие во встречах с заказчиком; Оптимизация запросов; Анализ корректности и консистентности данных; Вывод в релиз. Ты наш идеальный кандидат, если у тебя: Не менее 3-х лет опыта работы с РСУБД (Oracle, PostgreSQL, MS SQL, etc); Опыт работы со Spark, Scala; Опыт работы с Hadoop; Понимание принципов построения хранилищ данных; Опыт оптимизации запросов. У нас ты сможешь найти : Прозрачную системы карьерного развития в компании; Персонального наставника с первого дня работы; Возможность развития личной экспертизы и экспертизы компании; Собственную платформу внутренних и внешних образовательных программ; Возможность пройти сертификацию; Возможность участия в обучении, конференциях, митапах; Неповторимую корпоративную культуру компании."
Neoflex,PostgreSQL Developer (Развитие продукта),"Разработчик баз данных, Старший (Senior) • PostgreSQL • Oracle • DWH • ETL",Полный рабочий день • Можно удаленно,,24 сентября,https://career.habr.com/vacancies/1000118639,"Условия работы Проект: Перевод Системы автоматизации отчетности Neoflex Reporting с Oracle на PostgreSQL. Стэк : SQL; PL/pgSQL; PL/SQL. Чем ты будешь заниматься : Переводить продукт Neoflex Reporting (с PL/SQL на PL/pgSQL; с Oracle APEX на собственное решение); Организовывать процесс выгрузки данных из систем источников и загрузки в хранилище под управлением PostgreSQL/Greenplum; Анализировать корректность и консистентность данных; Рассчитывать и репрезентовать информацию из ХД; Участвовать в развитии продукта Neoflex Reporting. Ты наш идеальный кандидат, если у тебя есть : Уверенное знание SQL и PL/pgSQL, особенностей PostgreSQL/Greenplum; Опыт оптимизации приложений на SQL, PL/pgSQL; Понимание принципов построения хранилищ данных. Совсем круто, если: Знаешь основы банковского бухгалтерского учета; Знаешь PL/SQL; Умеешь работать с ETL инструментами (Informatica, IBM Data Stage, Talend); Умеешь работать с отчетностью (SAP BO, IBM Cognos BI или другими BI средствами); Умеешь работать с Oracle APEX. У нас ты сможешь найти : Прозрачную системы карьерного развития в компании; Персонального наставника с первого дня работы; Возможность развития личной экспертизы и экспертизы компании; Собственную платформу внутренних и внешних образовательных программ; Возможность пройти сертификацию; Возможность участия в обучении, конференциях, митапах; Неповторимую корпоративную культуру компании."
ЛАНИТ,Системный инженер СХД Dell/EMC (L3),Инженер технической поддержки • Техническая поддержка • Linux • Unix,Москва • Полный рабочий день,,24 сентября,https://career.habr.com/vacancies/1000129455,"О компании и команде Компания «ОНЛАНТА» входит в Группу компаний «ЛАНИТ». С 2008 года предоставляем облачные услуги OnCloud.ru, услуги эксплуатации информационных систем и ИТ-аутсорсинга: Service desk, поддержка ИТ-инфраструктуры, постгарантийное обслуживание оборудования, информационная безопасность, DevOps. Согласно данным TAdviser, CNews Analytics и РБК, OnCloud.ru входит в рейтинг ведущих облачных провайдеров РФ. Мы расширяем команду технической поддержки и ищем Инженера по СХД Dell/EMC. Ожидания от кандидата Обязанности: Восстановление работоспособности, устранение неисправностей в работе СХД Dell/EMC (уровень L3); Координация работы инженерных групп 1-й и 2-й линий технической поддержки; Ведение сервисных заявок; Ведение и оформление базы знаний, подготовка инструкций по решению проблем. Требования: Опыт работы с СХД Dell/EMC, SAN-коммутаторами (Brocade, Cisco); Опыт работы с Ethernet-коммутаторами для SAN (RoCE, iSCSI); Опыт работы с гипервизорами; Знание операционных систем Windows, Linux/*nix; Навыки траблшутинга SAN и СХД (производительность, доступность, и т.д.); Английский языком на уровне технической документации. Будет плюсом: Опыт работы с СХД, СРК других вендоров; Наличие сертификации. Условия работы Стабильная заработная плата; Профессиональный и карьерный рост; План адаптации и наставник на испытательный срок; Добровольное медицинское страхование за счет работодателя (по прошествии испытательного срока в компании), включая амбулаторное/стационарное лечение, вызов врача на дом, стоматологию; Доплата больничного до полной заработной платы до 14 дней в году (начинает действовать после прохождения ИС); Обучение и сертификация сотрудников за счет компании; Корпоративная библиотека МИФ и корпоративные скидки от SkyEng; Кредитование (по корпоративным программам от банков-партнеров); Корпоративная программа поощрения занятий спортом, скидки в фитнес-клубах; Кухни, столовая, кофейный киоск в офисе; Спортивный зал и салон красоты в офисе; Врач в офисе; Штаб-квартира ГК ЛАНИТ: Москва, Мурманский проезд, д. 14, к. 1 (корпоративный транспорт от Марьиной Рощи, ст.м. Алексеевская)."
Bell Integrator,Разработчик .Net ,"Бэкенд разработчик, Старший (Senior) • Git • .NET • C# • PostgreSQL • Microsoft SQL",Москва • Санкт-Петербург • Волгоград • Полный рабочий день • Можно удаленно,,24 сентября,https://career.habr.com/vacancies/1000129715,"О компании и команде Bell Integrator – один из ведущих системных интеграторов страны . Мы аккредитованная ИТ-компания и являемся частью большой семьи ГК Softline. Bell Integrator активно реализует проекты по всей России, среди наших заказчиков – крупнейшие системообразующие финансовые, телеком и ритейл компании страны. Проект : Проект для одного из крупнейших банков России ставит перед собой сложную и амбициозную задачу развитию системы Liquidity & Inventory Managment System. Проект долгосрочный, имеет высокий приоритет с стороны бизнеса. Ожидания от кандидата Опыт программирования под .Net (c#) от 3х лет; Высшее образование. Отличные знания C#, MS SQL Опыт работы с PostgreSQL, Git Желание оперативно решать возникающие проблемы EF/EF Core или прочие ORM Условия работы Возможность профессионального и карьерного роста в компании; Опыт работы в распределенной команде профессионалов; Уровень заработной платы обсуждается индивидуально; Возможность удаленной работы на территории РФ."
